,,봄 ( 3 ~ 5 ) ,*,*,여  름 ( 6 ~ 8 ) ,*,*,가  을 ( 9 ~ 11 ) ,*,*,겨  을 ( 12 ~ 2 ) ,*,*,
적용일자,발전기명,평일,토요일,휴일,평일,토요일,휴일,평일,토요일,휴일,평일,토요일,휴일
2024-07-01,오성복합1CC,1.0188,1.0179,1.018,1.0251,1.0192,1.0176,1.0293,1.0249,1.0282,1.025,1.0199,1.0171
2024-07-01,인천복합3CC,1.0128,1.0118,1.0131,1.0159,1.0102,1.0114,1.0203,1.0195,1.0175,1.0213,1.0228,1.0189
2024-07-01,세종천연가스CC,1.0088,1.0062,1.0054,1.0189,1.0127,1.0109,1.0167,1.0108,1.009,1.02,1.0141,1.0092
2024-07-01,율촌복합#2CC,0.9831,0.9816,0.9812,1.0002,0.9954,0.997,0.9966,0.9898,0.9836,1.0021,1.0022,0.9957
2024-07-01,수완에너지열병합CC,0.9903,0.9891,0.9872,1.0136,1.0034,1.002,1.0078,0.9948,0.9909,1.0257,1.0163,1.0085
2024-07-01,양주열병합CC,0.9858,0.9858,0.9887,0.9918,0.9896,0.9927,0.9976,0.9979,0.9984,1.0054,1.0052,0.9998
2024-07-01,안양열병합2-1CC,1.0076,1.0047,1.007,1.0257,1.0189,1.0177,1.0168,1.0132,1.0114,1.0157,1.0105,1.0078
2024-07-01,안양열병합2-2CC,1.0078,1.0046,1.0061,1.0257,1.0189,1.0177,1.0166,1.0132,1.0107,1.0155,1.0104,1.0067
2024-07-01,울산GPS복합CC,1.0106,1.0013,0.998,1.0304,1.0129,1.0127,1.0115,0.9956,0.9853,1.0206,1.0049,0.9911
2024-07-01,울산GPS복합GT,1.0106,1.0013,0.998,1.0304,1.0129,1.0127,1.0115,0.9956,0.9853,1.0206,1.0049,0.9911
2024-07-01,삼척그린#1,0.9668,0.9695,0.9718,0.9694,0.9644,0.9632,0.9713,0.9712,0.98,0.9769,0.9724,0.9723
2024-07-01,삼척그린#2,0.9668,0.9695,0.9718,0.9694,0.9644,0.9632,0.9713,0.9712,0.98,0.9769,0.9724,0.9723
