순위,거래년월,발전기명,연료비(원/kWh),열량단가(원/Gcal),TLF,최대용량(95%),2차계수,1차계수,상수,권역
55,24-Dec,영흥#6,79.203,36004,1.0138,778,0.000163,1.840188,204.763588,충청
56,24-Dec,삼척화력#1,79.278,37431,0.9778,998,7.70E-05,1.822048,171.670096,강원
57,24-Dec,보령#4,79.304,35577,1,454,0.000383,1.74541,140.6577,충청
58,24-Dec,영흥#1,79.317,35873,1.0139,719,0.000191,1.869527,168.932055,충청
59,24-Dec,영흥#4,79.328,35826,1.0139,786,9.30E-05,1.949309,174.941231,충청
60,24-Dec,당진#5,79.38,35569,1.0042,454,0.000306,1.787381,142.935976,충청
61,24-Dec,태안#10,79.516,36811,0.9901,952,8.90E-05,1.818424,224.250378,충청
62,24-Dec,보령#3,79.683,35584,1,450,9.30E-05,1.93963,116.080657,충청
63,24-Dec,당진#8,79.702,35659,1.0042,455,0.000636,1.499506,207.309091,충청
64,24-Dec,보령#7,79.77,35673,1.0035,453,0.000355,1.643668,199.127846,충청
65,24-Dec,영흥#3,79.801,35813,1.0139,783,0.000358,1.595757,299.995878,충청
66,24-Dec,영흥#5,79.838,36019,1.0138,779,0.000131,1.82108,252.407145,충청
67,24-Dec,삼천포#6,79.922,34533,1.0067,459,0.000285,1.934922,121.216574,경남
68,24-Dec,삼천포#5,80.316,34635,1.0067,457,0.000429,1.791031,158.738493,경남
69,24-Dec,영흥#2,80.496,36163,1.0139,721,9.20E-05,1.975746,154.874588,충청
70,24-Dec,삼천포#3,80.879,34401,1.0067,504,0.00037,1.921786,130.345231,경남
71,24-Dec,삼천포#4,81.102,34430,1.0067,506,0.000415,1.89813,133.207713,경남
72,24-Dec,당진#2,81.507,35075,1.0058,451,0.000413,1.81202,152.92229,충청
73,24-Dec,당진#3,81.706,35026,1.0042,451,0.000658,1.572622,213.436698,충청
74,24-Dec,당진#4,82.649,35573,1.0042,451,0.000368,1.865505,136.07109,충청
75,24-Dec,당진#1,82.804,35637,1.0058,453,0.00062,1.583041,214.34547,충청
76,24-Dec,태안#8,82.92,36794,0.9901,453,0.000368,1.733107,150.19738,충청
77,24-Dec,태안#7,83.302,36764,0.9901,450,0.000262,1.756495,166.138856,충청
78,24-Dec,울산GPS복합CC,83.493,55670,1.0206,1049,0.000185,0.988377,365.269091,경남
79,24-Dec,북평#1,84.58,38086,0.9795,535,0.00058,1.494944,197.941625,강원
80,24-Dec,태안#1,84.838,36826,0.9901,455,0.000384,1.782079,147.499433,충청
81,24-Dec,북평#2,84.974,38103,0.9795,536,0.000324,1.662084,186.845051,강원
82,24-Dec,태안#6,85.049,36805,0.9901,454,0.000521,1.730856,145.524474,충청
83,24-Dec,태안#9,85.494,36908,0.9901,952,0.000617,1.030949,642.722798,충청
84,24-Dec,보령#6,85.572,35643,1,454,0.000241,2.004905,130.089664,충청
85,24-Dec,태안#2,85.649,36782,0.9901,459,0.000442,1.765181,154.864903,충청
86,24-Dec,태안#3,85.689,36809,0.9901,454,0.000597,1.653977,172.468262,충청
87,24-Dec,태안#4,85.92,36853,0.9901,453,3.00E-05,2.070931,101.420284,충청
88,24-Dec,보령#5,86.199,35706,1,454,0.001183,1.3492,239.646571,충청
89,24-Dec,태안#5,86.314,36896,0.9901,454,0.001061,1.264823,258.652916,충청
90,24-Dec,신보령#2,86.438,40486,0.9993,919,0.000201,1.708007,221.263353,충청
91,24-Dec,신보령#1,86.535,40547,0.9993,925,0.000319,1.485089,326.11222,충청
92,24-Dec,여수#1,92.061,35261,1.0074,291,0.000704,1.889252,155.890826,호남
93,24-Dec,여수#2,92.133,35225,1.0074,281,2.10E-05,2.231969,111.643273,호남
94,24-Dec,여주복합CC,92.226,61297,1.0162,974,1.20E-05,1.417454,97.191396,경기
95,24-Dec,김포열병합CC,95.436,55349,1.0178,333,0.000435,1.233209,125.390088,경기
96,24-Dec,위례열병합CC,97.689,62371,1.0252,439,0.000136,1.314972,101.414433,경기
97,24-Dec,안양열병합2-1CC,100.13,64695,1.0157,492,0.000323,1.133105,137.77,경기
98,24-Dec,파주문산복합2CC,100.936,64856,1.0137,895,0.000118,1.343718,114.83361,경기
99,24-Dec,파주문산복합1CC,101.041,64873,1.0137,895,1.10E-05,1.501291,60.608801,경기
100,24-Dec,세종천연가스CC,108.317,62980,1.02,561,9.00E-06,1.653624,53.577656,충청
101,24-Dec,신서천화력1호기,110.753,51449,0.9779,967,0.000179,1.612087,309.378505,충청
102,24-Dec,GS당진복합4CC,113.903,71962,0.9965,894,2.00E-06,1.484284,81.5373,충청
103,24-Dec,신평택복합CC,115.877,74731,1.0162,979,2.20E-05,1.44405,107.768686,경기
104,24-Dec,서울복합2CC,117.712,69599,1.0176,437,0.001274,0.716683,195.615387,경기
105,24-Dec,서울복합1CC,118.222,69635,1.0176,437,0.002054,0.179372,284.330477,경기
106,24-Dec,GS당진복합1CC,120.909,70145,0.9991,545,0.000146,1.569636,39.752139,충청
107,24-Dec,신세종열병합CC,122.318,79771,1.02,567,0.000247,1.135353,163.674867,충청
108,24-Dec,울산GPS복합GT,127.741,55670,1.0206,352,0.001159,1.074644,302.668017,경남
109,24-Dec,양산열병합,128.653,71876,1.0193,113,0.001882,1.171952,49.714912,경남
110,24-Dec,안양열병합2-2CC,131.519,86426,1.0155,493,0.000342,1.062177,155.083076,경남
111,24-Dec,영남파워#1CC,133.664,85892,1.0192,496,0.000302,1.135394,149.220193,경남
112,24-Dec,포스코에너지복합7CC,133.731,86280,1.0169,444,8.00E-06,1.317282,113.27536,경기
113,24-Dec,포스코에너지복합9CC,134.317,86352,1.0225,429,1.00E-05,1.300605,122.618673,경기
114,24-Dec,춘천열병합CC,135.305,86027,1.0141,487,0.000292,1.152437,146.326381,강원
115,24-Dec,대구그린파워CC,135.537,85713,1.0235,445,0.000265,1.230333,120.171846,경북
116,24-Dec,울산복합CC#4,136.364,85945,1.0206,966,1.30E-05,1.492267,110.629965,경남
117,24-Dec,명품오산열병합CC,136.37,86114,1.0138,486,0.000253,1.185588,144.367645,경기
118,24-Dec,GS당진복합3CC,136.405,85449,0.9965,448,0.000293,1.198952,116.770487,충청
119,24-Dec,포스코에너지복합8CC,137.039,86336,1.0221,429,0.001829,0.099912,316.496744,경기
120,24-Dec,안산복합CC,137.316,85816,1.0191,878,1.30E-05,1.517736,89.126688,경기
121,24-Dec,안동복합CC,137.67,85653,0.9966,447,0.000183,1.28934,103.047698,경북
122,24-Dec,평택복합#2CC,137.674,86000,1.0174,969,1.00E-06,1.522393,102.086836,경기
123,24-Dec,포천천연복합CC,138.567,86640,1.0044,992,4.00E-06,1.487522,113.950416,경기
124,24-Dec,동탄열병합1CC,138.953,86164,1.0242,427,0.000414,1.148898,139.139846,경기
125,24-Dec,동탄열병합2CC,139.638,86184,1.0242,427,0.000319,1.221168,128.903027,경기
126,24-Dec,동두천복합#1CC,140.179,86622,1.0035,964,5.00E-06,1.496417,118.326784,경기
127,24-Dec,율촌복합#2CC,140.526,86582,1.0021,961,3.70E-05,1.480451,106.158373,호남
128,24-Dec,하남열병합CC,140.587,86208,1.0264,409,0.000159,1.270226,138.344148,경기
129,24-Dec,동두천복합#2CC,141.391,86630,1.0035,964,1.00E-06,1.533243,99.921602,경기
130,24-Dec,부산복합4CC,142.055,85794,1.0222,571,7.20E-05,1.56776,47.767929,경남
131,24-Dec,부산복합2CC,142.346,85757,1.0222,549,3.90E-05,1.599926,41.396093,경남
132,24-Dec,부산복합3CC,142.857,85773,1.0222,536,1.30E-05,1.613691,43.849501,경남
133,24-Dec,오성복합1CC,142.862,85952,1.025,814,0.000264,1.288654,162.89267,경기
134,24-Dec,GS당진복합2CC,142.956,85619,0.9965,558,3.00E-06,1.577723,47.08344,충청
135,24-Dec,인천복합2CC,143.209,85952,1.0179,578,1.80E-05,1.608048,44.783901,경기
136,24-Dec,부산복합1CC,143.989,85722,1.0222,545,1.80E-05,1.625818,44.377264,경남
137,24-Dec,포천복합#1CC,145.303,86686,1,864,3.80E-05,1.546207,83.917908,경기
138,24-Dec,포스코에너지복합6CC,145.341,86375,1.0169,655,0.000129,1.514095,73.689391,경기
139,24-Dec,포천복합#2CC,145.608,86678,1,864,6.00E-05,1.525242,88.785782,경기
140,24-Dec,포스코에너지복합5CC,145.91,86391,1.0169,652,8.00E-06,1.610568,66.285767,경기
141,24-Dec,군산복합화력1CC,148.354,86166,0.9992,793,0.000319,1.285752,144.012162,호남
142,24-Dec,인천복합1CC,148.732,85996,1.0179,520,8.40E-05,1.593378,64.152451,경기
143,24-Dec,신인천복합2_CC#1,149.25,85871,1.0106,529,2.00E-06,1.685169,37.185119,경기
144,24-Dec,서인천복합1CC#7,149.594,86188,1.0126,266,0.000874,1.142269,101.820701,경기
145,24-Dec,서인천복합1CC#4,149.69,86183,1.0126,266,0.001171,0.98796,122.179535,경기
146,24-Dec,율촌복합CC,149.691,86739,0.9965,584,1.00E-06,1.638505,47.111124,호남
147,24-Dec,신인천복합2_CC#4,149.768,85836,1.0106,537,4.60E-05,1.658824,42.831372,경기
148,24-Dec,신인천복합2_CC#2,149.791,85849,1.0106,521,8.00E-06,1.678325,42.074317,경기
149,24-Dec,서인천복합1CC#3,150.091,86228,1.0126,266,0.002697,0.263263,207.983516,경기
150,24-Dec,서인천복합1CC#2,150.152,86196,1.0126,266,0.000869,1.141217,104.15571,경기
151,24-Dec,인천복합3CC,150.387,85966,1.0213,529,3.00E-06,1.674929,58.271494,경기
