발전기명,권역,출력량(MWh),상태,연료비(원/kWh),총 비용(원)
포스코에너지복합8CC,경기,429.0,1.0,137.039,58789.73099999999
안산복합CC,경기,878.0,1.0,137.316,120563.448
안동복합CC,경북,0.0,1.0,137.67,0.0
평택복합#2CC,경기,969.0,1.0,137.674,133406.106
포천천연복합CC,경기,992.0,1.0,138.567,137458.464
동탄열병합1CC,경기,427.0,1.0,138.953,59332.931000000004
동탄열병합2CC,경기,427.0,1.0,139.638,59625.426
동두천복합#1CC,경기,964.0,1.0,140.179,135132.556
율촌복합#2CC,호남,0.0,1.0,140.526,0.0
하남열병합CC,경기,409.0,1.0,140.587,57500.083
동두천복합#2CC,경기,964.0,1.0,141.391,136300.924
부산복합4CC,경남,0.0,1.0,142.055,0.0
부산복합2CC,경남,0.0,1.0,142.346,0.0
부산복합3CC,경남,0.0,1.0,142.857,0.0
오성복합1CC,경기,814.0,1.0,142.862,116289.66799999999
GS당진복합2CC,충청,0.0,1.0,142.956,0.0
인천복합2CC,경기,578.0,1.0,143.209,82774.802
부산복합1CC,경남,0.0,1.0,143.989,0.0
포천복합#1CC,경기,864.0,1.0,145.303,125541.792
포스코에너지복합6CC,경기,655.0,1.0,145.341,95198.35500000001
포천복합#2CC,경기,864.0,1.0,145.608,125805.312
포스코에너지복합5CC,경기,652.0,1.0,145.91,95133.31999999999
군산복합화력1CC,호남,0.0,1.0,148.354,0.0
인천복합1CC,경기,520.0,1.0,148.732,77340.64
신인천복합2_CC#1,경기,529.0,1.0,149.25,78953.25
서인천복합1CC#7,경기,266.0,1.0,149.594,39792.004
서인천복합1CC#4,경기,266.0,1.0,149.69,39817.54
율촌복합CC,호남,0.0,1.0,149.691,0.0
신인천복합2_CC#4,경기,537.0,1.0,149.768,80425.416
신인천복합2_CC#2,경기,521.0,1.0,149.791,78041.111
서인천복합1CC#3,경기,266.0,1.0,150.091,39924.206000000006
서인천복합1CC#2,경기,266.0,1.0,150.152,39940.43199999999
인천복합3CC,경기,529.0,1.0,150.387,79554.723
서인천복합1CC#8,경기,266.0,1.0,150.421,40011.986
신인천복합2_CC#3,경기,520.0,1.0,150.708,78368.16
파주열병합1CC,경기,551.0,1.0,150.816,83099.616
울산복합CC#3,경남,0.0,1.0,151.021,0.0
보령복합2CC,충청,0.0,1.0,151.085,0.0
울산복합CC#2,경남,0.0,1.0,151.552,0.0
양주열병합CC,경기,554.0,1.0,151.728,84057.312
서인천복합1CC#5,경기,266.0,1.0,151.918,40410.188
서인천복합1CC#1,경기,266.0,1.0,152.145,40470.57
보령복합1CC,충청,0.0,1.0,152.175,0.0
남제주복합CC,제주,0.0,1.0,152.35,0.0
서인천복합1CC#6,경기,266.0,1.0,152.963,40688.157999999996
보령복합3CC,충청,0.0,1.0,153.325,0.0
제주복합1CC,제주,0.0,1.0,153.376,0.0
화성열병합 CC#1,경기,553.0,1.0,153.434,84849.002
포스코에너지복합4CC,경기,479.0,1.0,154.838,74167.402
포스코에너지복합3CC,경기,514.0,1.0,156.371,80374.694
제주복합2CC,제주,0.0,1.0,157.1,0.0
영월복합1CC,강원,0.0,1.0,159.071,0.0
광교열병합1CC,경기,164.0,1.0,163.116,26751.024
수완에너지열병합CC,호남,0.0,1.0,164.575,0.0
송도열병합발전1CC,경기,215.0,1.0,164.612,35391.58
별내에너지열병합CC,경기,135.0,1.0,167.707,22640.445
분당복합2CC,경기,404.0,1.0,168.666,68141.064
일산복합2CC,경기,353.0,1.0,174.056,61441.768000000004
부천복합CC,경기,506.0,1.0,174.594,88344.564
